Inf,Rec,Name,Transfer Value,Pts/Gm,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Stepan Melnik,£600K  £1.8M,0.73,3.18,0.9,0.09,21%,0.6,0.13,21%,3,12.2km,0.94,46.27,40.64,9.83,12.02,3.48,0.13,0.52,0.09,0.47,0.82,1.72,14.76,1.2,2.75,0.04,28%,2.02,89%,88%,10.64,0.13,0.3,1.2,0.17
,  ,Danil Stogov,£600K  £1.8M,1.43,3.67,1.37,0.24,14%,0.99,0.14,14%,3,13.1km,0.94,44.51,40.41,12.9,12.24,3.11,0.42,0.85,0.28,0.28,0.8,1.7,11.77,1.46,3.01,0,37%,1.93,80%,91%,11.96,0,0.14,1.46,0.09
,  ,Gil Gabay,£600K  £1.8M,1.06,3.71,0.55,0,26%,0.61,0.16,26%,5,12.3km,0.97,35.77,30.16,10.61,19.35,2.52,0.61,1.71,0.61,0.42,0.77,1.42,11.97,1.1,2.61,0,15%,1.35,69%,84%,10,0.1,0.35,1.1,0.13
,  ,Hussein Hussein,£600K  £1.7M,1.22,2.97,0.94,0.15,9%,0.83,0.08,9%,2,12.7km,0.87,46.69,41.84,11.33,9.56,4.33,0.34,0.75,0.26,0.38,0.79,1.51,12.45,1.09,3.2,0.08,32%,1.84,63%,90%,10.84,0.08,0.45,1.09,0.08
,  ,Karel Šturma,£550K  £1.7M,0.95,2.83,0.66,0.14,13%,0.43,0.06,13%,2,12.9km,0.29,51.45,45.33,11.98,7.52,4.86,0.17,0.43,0.09,0.54,1.37,1.57,10.44,1.34,2.92,0,23%,1.63,66%,88%,10.55,0.11,0.34,1.34,0.06
,  ,Denis Dedej,£550K  £1.7M,1.9,3.41,1.58,0.06,21%,1.15,0.25,22%,8,12.3km,0.9,43.11,36.56,10.86,9.65,3.6,0.12,0.47,0.12,0.4,0.87,1.43,18.16,1.4,3.1,0.03,46%,2.27,83%,85%,11.2,0.06,0.37,1.4,0.28
,  ,José Moreira,£550K  £1.7M,1.24,3.01,1.19,0.06,50%,0.57,0.28,50%,5,12.4km,0.62,48.66,42.76,10.16,8.4,5.28,0,0.23,0,0.4,0.91,1.99,8.12,1.25,3.07,0,40%,2.27,82%,88%,10.28,0.06,0.34,1.25,
Wnt,  ,Marek Szymański,£550K  £1.6M,1.6,3.55,1.76,0.15,45%,0.34,0.15,45%,5,13.1km,0.62,51.92,46.53,12.36,4.66,5.18,0.37,0.83,0.18,0.4,0.8,1.2,14,1.23,2.81,0.12,50%,1.57,73%,90%,9.62,0.03,0.4,1.23,0.18
,  ,Özgüneri Karadağ,£550K  £1.6M,0.89,2.33,0.64,0,20%,0.8,0.16,20%,2,12.8km,0.88,44.24,38.61,10.54,17.29,3.94,0.4,1.13,0.32,0.48,1.13,2.01,9.57,0.97,2.25,0,28%,1.77,92%,87%,10.94,0,0.32,0.97,0.16
Lst,  ,Ercan Dönmez,£550K,1.12,7.02,2.65,0.15,14%,1.05,0.15,14%,4,12.4km,1.46,35.37,30.66,9.86,22.33,2.2,0.45,1.34,0.34,0.41,1.08,1.31,9.11,0.9,2.28,0,38%,1.16,84%,87%,9.93,0.04,0.26,1.46,0.11
,  ,Danijel Ždinjak,£500K  £1.6M,1.81,3.55,0.69,0.05,21%,1.05,0.2,19%,7,12.2km,1.23,43.58,38.38,9.93,13.14,3.43,0.29,1.05,0.44,0.49,0.86,1.89,15.29,1.37,3.04,0,19%,1.86,79%,88%,10.44,0.07,0.54,2.45,0.32
Wnt,  ,Tiago Freitas,£500K  £1.6M,1,3.77,1.44,0.48,,1.98,0.06,3%,0,12.2km,0.78,40.9,35.21,9.28,15.63,3.17,0.54,1.5,0.6,0.54,0.9,1.86,11.08,1.14,3.05,0,38%,2.1,85%,86%,10.96,0,0.18,1.32,0.12
,  ,Galder Pérez,£500K  £1.6M,1.15,3.44,0.78,0.03,23%,0.49,0.12,24%,4,12.2km,0.72,43.82,38.39,11.99,11.58,3.35,0.2,0.58,0.12,0.61,0.72,2.02,13.03,0.95,2.22,0.03,23%,1.39,73%,88%,11.52,0.03,0.43,0.95,0.09
,  ,Suso,£500K  £1.5M,0.87,4.94,1.2,0.08,8%,5.86,0.46,8%,2,12.2km,1.27,36.42,32.29,8.95,18.32,2.93,0.23,1.16,0.54,0.27,0.93,1.39,9.14,1.47,2.55,0,24%,1.2,78%,89%,10.34,0.04,0.42,1.47,0.12
,  ,Alexey Kovalev,£500K  £1.5M,0.7,3.87,1.18,0,15%,0.93,0.15,16%,3,12.5km,0.93,44.83,39.14,10.1,15.06,3.14,0.15,0.64,0.05,0.39,0.69,1.32,10.1,1.18,2.45,0,30%,1.91,83%,87%,10.1,0,0.25,1.18,0.1
,  ,Dor Perets,£500K  £1.5M,1.5,3.68,1.27,0.17,16%,0.72,0.12,16%,4,12.4km,1.07,41.35,35.99,9.85,18.89,2.61,0.12,0.46,0.06,0.43,1.01,1.59,9.53,1.22,2.72,0,35%,1.85,84%,87%,10.58,0.03,0.38,1.22,0.17
Wnt,  ,Mikheil Silagadze,£500K  £1.5M,0.97,3.56,1.66,0.07,11%,1.79,0.2,11%,2,12.0km,0.85,42.85,37.01,10.57,8.78,3.23,0.13,0.49,0.13,0.52,1.01,1.83,14.62,1.17,2.68,0,47%,2.02,81%,86%,10.9,0.07,0.26,1.99,0.13
,  ,Pjero Jurišić,£500K  £1.5M,1.09,3.27,1.59,0.45,14%,0.69,0.1,14%,2,12.3km,0.74,44.18,37.79,10.02,14.78,3.77,0.1,0.4,0.1,0.25,0.74,1.44,14.18,1.44,3.22,0,48%,2.13,84%,86%,11.36,0.05,0.55,1.44,0.1
,  ,Tsvetan Bashev,£500K  £1.5M,1.38,3.81,1.9,0.24,22%,0.89,0.2,23%,5,12.1km,0.73,45.43,39.19,10.54,13.82,2.59,0.24,0.97,0.45,0.28,0.73,2.03,10.78,0.93,2.63,0,50%,1.46,72%,86%,10.86,0.04,0.28,0.93,0.12
Wnt,  ,Alexandr Korolenok,£475K  £1.4M,0.88,4.21,0.82,0.11,23%,0.71,0.16,23%,3,12.9km,1.75,35.39,31.18,10.1,21.08,1.69,0.27,1.09,0.27,0.49,0.6,1.69,9.34,0.87,2.46,0,19%,1.91,90%,88%,8.85,0,0.33,0.87,0.11
,  ,Adrian Videnov,£475K  £1.4M,1.43,2.69,1.43,0.17,,0.25,0,0%,0,12.4km,0.5,47.69,43.4,10.35,6.64,4.21,0.17,0.5,0.08,0.59,1.26,1.51,13.21,1.51,2.02,0,53%,1.35,73%,91%,8.24,0.08,0.67,1.51,0.08
,  ,Jakub Adkonis,£475K  £1.4M,1.87,3.58,1.85,0.24,22%,6.18,0.63,10%,2,12.1km,0.91,51,44.43,10.59,6.93,4.01,0.35,0.91,0.39,0.35,0.83,1.81,14.95,0.83,2.87,0,52%,2.13,74%,87%,10.35,0.16,0.31,1.1,0.24
,  ,Patrik Brdik,£475K  £1.4M,1.4,4.46,1.25,0.03,17%,3.34,0.5,15%,5,12.4km,1.01,38.62,33.36,10.67,12.53,2.84,0.69,1.7,0.74,0.4,0.98,1.38,13.11,1.11,2.31,0,28%,1.51,83%,86%,10.3,0.08,0.56,1.11,0.24
Wnt,  ,Dávid Lipcsei,£475K,1.38,5.21,2.3,0.18,4%,0.74,0.04,5%,1,12.2km,1.24,43.44,38.23,9.61,11.1,3.16,0.25,1.28,0.5,0.32,0.67,1.56,14.08,1.21,2.62,0,44%,1.56,83%,88%,10.43,0.21,0.28,1.21,0.18
,  ,Robert Hakkar,£450K  £1.4M,1.31,3.54,1.02,0,22%,0.87,0.19,22%,4,12.0km,1.17,40.87,35.24,9.71,14.22,3.4,0.44,1.36,0.34,0.34,0.68,1.89,14.03,1.5,2.72,0,29%,1.6,67%,86%,10.44,0.05,0.34,1.5,0.34
,  ,Sandro Corti,£450K  £1.4M,1.17,3.76,1.36,0.1,11%,0.9,0.1,11%,2,11.9km,0.8,44.92,39.4,9.69,12.65,2.96,0.1,1,0.2,0.35,0.75,1.71,13.35,1.2,2.76,0,36%,2.01,87%,88%,11.44,0,0.4,1.2,0.25
Wnt,  ,Marco Düring,£450K  £1.3M,1,4.43,1.46,0.05,33%,1.92,0.32,17%,5,12.6km,1.32,35.18,30.38,12.7,13.29,2.6,0.18,1.05,0.37,0.5,0.91,1.83,12.38,0.96,2.47,0,33%,1.64,86%,86%,11.06,0.05,0.09,0.96,0.09
Int,  ,Natthaphong Thomma,£425K  £1.3M,1.77,3.69,0.95,0,37%,0.76,0.28,38%,3,12.2km,0.85,40.26,34.77,10.71,9.19,3.03,0.19,0.47,0.09,0.57,0.85,1.71,15.63,1.04,2.46,0,26%,1.8,100%,86%,11.08,0,0.19,1.04,0.09
Int,  ,Gal Levi,£425K  £1.3M,1.26,2.9,1.62,0.11,16%,1,0.17,17%,3,12.6km,0.95,45.72,40.38,10.19,15.2,3.45,0.22,0.45,0.11,0.22,0.67,1.56,11.92,1.67,2.67,0,56%,1.84,80%,88%,10.86,0,0.22,1.95,0.11
,  ,Artem Shabanin,£425K  £1.2M,1.29,4.23,2.16,0.5,26%,0.86,0.23,26%,5,12.4km,0.59,49.34,42.68,10.36,8.37,4.37,0.09,0.36,0.05,0.27,0.95,1.8,15.44,1.26,2.7,0.14,51%,2.12,82%,86%,9.63,0.14,0.36,1.26,0.09
,  ,Yasin Erkol,£400K  £1.2M,1.09,2.55,0.66,0.03,26%,1.1,0.21,19%,6,12.3km,0.86,43.26,38.5,9.62,14.14,2.9,0.41,1.1,0.52,0.21,0.93,1.66,8.69,1.03,2.69,0,26%,1.66,75%,89%,10.18,0.14,0.31,1.72,0.1
Wnt,  ,Yossi Bar,£375K  £1.1M,0.92,3.3,0.85,0.03,15%,0.62,0.1,16%,3,12.5km,0.98,45.92,39.6,10.82,10.76,2.98,0.29,0.98,0.29,0.59,0.82,2.22,13.96,0.98,2.39,0.16,26%,1.7,76%,86%,10.37,0.07,0.03,0.98,0.07
Wnt,  ,Thomas Arenshøj,£375K  £1.1M,1.35,4,2.24,0.19,15%,0.75,0.11,15%,3,12.2km,0.97,43.13,36.52,10.08,13.93,4.22,0.11,0.3,0.04,0.3,0.71,1.76,11.65,1.72,2.95,0,56%,2.17,89%,85%,11.32,0.22,0.19,1.72,0.07
Res,  ,Simon Lundh,£375K  £1.1M,1.33,4.65,3.64,0.2,,0.2,0,0%,0,13.0km,0.71,54.34,48.79,11.82,5.76,6.26,0.2,0.71,0.2,0.2,0.51,1.21,12.42,0.81,2.63,0.1,78%,1.82,72%,90%,8.99,0.2,0.2,0.81,0.2
,  ,Marko Kočar,£350K  £1.1M,1.15,3.38,1.82,0.26,,3.34,0.3,9%,0,12.6km,0.61,50.52,45.54,10.57,6.11,4.85,0.22,0.82,0.39,0.48,0.87,1.39,16.03,1.21,2.77,0.04,54%,1.73,71%,90%,9.23,0,0.56,1.21,0.26
,  ,Gracjan Biedrzycki,£350K  £1.1M,1.15,3.26,0.7,0.06,16%,0.96,0.16,17%,5,12.1km,0.96,44.46,38.79,10.05,12.93,3.14,0.06,0.26,0.06,0.29,0.86,1.89,9.51,1.18,2.85,0,22%,1.98,85%,87%,10.72,0.06,0.03,1.18,0.03
,  ,José Luis Orta,£350K  £1M,1.77,2.71,1.12,0.19,20%,0.23,0.05,20%,1,12.3km,0.51,49.67,44.21,10.84,7.66,4.11,0.19,0.47,0.05,0.37,0.7,2.01,14.02,0.84,2.99,0.05,41%,2.1,78%,89%,9.81,0.05,0.28,0.84,0.09
Int,  ,Péter Bogdán,£325K  £1M,0.88,3.35,1.86,0.15,5%,0.63,0.04,6%,1,12.3km,0.93,47.16,41.8,9.91,10.13,4.58,0.04,0.22,0.07,0.34,0.48,1.45,10.17,1.01,2.27,0,56%,1.49,74%,89%,9.72,0.04,0.04,1.01,0.04
,  ,Gal Pachima,£325K  £1M,1.37,3.37,1.14,0.1,20%,1,0.21,21%,6,12.1km,0.76,43.93,38.56,11.26,12.36,3.34,0.1,0.38,0.1,0.31,0.83,1.76,10.81,0.96,3.13,0,34%,2.1,78%,88%,11.5,0.14,0.17,0.96,0.07
,  ,Abass Mallé,£325K  £1M,1.05,3.21,1.13,0.04,18%,4.57,0.49,11%,5,11.9km,1.17,45.57,39.52,9.33,15.76,3.55,0.38,0.83,0.19,0.3,0.53,1.55,9.37,1.36,2.87,0,35%,1.62,65%,87%,10.39,0.04,0.49,2.95,0.3
Wnt,  ,Matan Mishpati,£325K  £950K,1.68,3.09,0.84,0,8%,0.67,0.06,8%,1,12.2km,1.07,42.08,37.25,10.22,12.47,3.09,0.62,1.69,0.67,0.34,0.51,1.24,11.91,1.24,2.47,0,27%,1.29,68%,89%,11.01,0,0.56,1.24,0.17
,  ,Simon Gale,£325K  £950K,1.96,6.37,1.69,0.07,15%,1.09,0.17,16%,7,12.5km,1.07,31.72,27.55,10.17,14.24,1.84,0.45,1.56,0.55,0.22,0.72,1.74,14.38,1.31,2.11,0,26%,1.36,74%,87%,9.05,0.02,0.25,1.31,0.15
Wnt,  ,Sebastian Olderheim,£325K,0.43,3.43,1.14,0,16%,0.49,0.08,17%,1,12.6km,0.98,43.57,37.7,9.79,18.69,4,0.24,0.57,0.24,0.24,0.65,1.63,7.67,1.39,3.67,0,33%,2.04,76%,87%,11.42,0.08,0.16,1.39,0.08
,  ,Arthur Dubourg,£300K  £950K,1.49,2.79,0.71,0.06,23%,0.83,0.19,23%,6,12.7km,0.96,44.07,38.13,10.01,12.49,3.37,0.19,0.51,0.13,0.29,0.83,1.93,13.64,1.28,2.99,0,25%,2.21,91%,87%,10.69,0.03,0.35,2.05,0.32
,  ,Nashton Steele,£300K  £900K,1.09,3.21,0.96,0.05,8%,0.55,0.05,8%,1,12.7km,1.33,46.86,40.85,10.96,7.93,3.81,0.18,0.41,0.09,0.73,0.73,2.02,9.9,0.64,2.48,0,30%,1.79,78%,87%,9.58,0.09,0.09,0.64,0.14
,  ,Husan Abduhamidov,£300K  £900K,1.26,2.76,1.59,0.09,,0.59,0,0%,0,12.8km,0.54,50.21,44.73,10.51,7.89,5.3,0.14,0.18,0.05,0.23,0.68,1.72,10.79,1.4,2.85,0,57%,1.95,83%,89%,9.74,0.05,0.09,1.4,0.05
Int,  ,Jakub Żmuda,£275K  £850K,1.79,3.14,1.04,0,9%,4.2,0.34,8%,1,12.8km,0.58,48.61,42.82,10.87,5.88,4.69,0.06,0.34,0.06,0.24,0.73,1.22,13.13,1.37,2.53,0.03,33%,1.68,73%,88%,9.41,0.03,0.43,1.37,0.24
,  ,Mohamed Pettersson,£275K  £850K,2.08,3.03,0.82,0,12%,0.93,0.12,13%,1,12.0km,1.05,43.48,37.89,9.56,13.17,3.73,0.35,1.28,0.35,0.12,0.82,1.4,10.38,1.98,2.8,0,27%,1.4,67%,87%,9.44,0,0.35,1.98,0.35
,  ,Aleksandar Petrov,£275K  £850K,0.61,6.67,2.19,0.07,4%,0.77,0.04,5%,1,12.8km,1.49,33.3,29.26,9.4,24.6,1.82,0.58,1.6,0.44,0.36,0.8,1.35,7.25,1.17,2.48,0,33%,1.28,90%,88%,8.82,0,0.22,1.17,0.15
Wnt,  ,Friedrich Kanda,£275K  £850K,1.07,3.62,1.22,0.21,18%,0.46,0.08,18%,2,13.3km,0.76,47.99,41.97,11.59,8.6,4.26,0,0.13,0,0.46,0.84,2.11,13.1,1.14,2.32,0.04,34%,1.26,68%,87%,10.58,0.04,0.29,1.14,0.17
,  ,Dmytro Petrychenko,£275K  £800K,1.43,4.18,1.3,0,11%,0.82,0.1,12%,2,11.8km,1.39,45.1,38.46,8.94,12.12,4.38,0.19,0.91,0.29,0.14,0.62,1.68,10.53,1.88,2.5,0,31%,1.59,89%,85%,10.72,0.05,0.43,1.88,0.19
,  ,Şahin Kalınsazlıoğlu,£275K  £800K,1.6,4.52,3.05,0.63,,0.31,0,0%,0,12.5km,0.67,49.55,45.11,11.51,6.45,4.26,0.04,0.27,0.04,0.22,0.54,1.93,14.69,1.21,3.58,0.27,67%,2.91,76%,91%,10.21,0.04,0.49,1.21,0.36
,  ,Bilal Koyuncu,£275K  £800K,1.48,2.98,1.24,0.05,,0.2,0,0%,0,12.2km,0.55,49.59,43.88,10.26,6.25,4.31,0.15,0.45,0.1,0.25,0.69,1.64,11.36,1.04,2.43,0.05,42%,1.74,76%,89%,9.77,0.15,0.15,1.49,0.05
,  ,Joseph Kawooya,£275K  £800K,1.6,5.08,2.91,0.17,12%,0.67,0.08,13%,1,13.2km,1.08,42.54,36.05,12.57,17.4,3.5,0.08,0.33,0.08,0.5,0.83,1.5,11.66,1,2.66,0,57%,1.83,85%,85%,13.15,0,0.17,1,0.17
,  ,Noel Sernelius,£250K  £750K,0.86,4.59,1.91,0.78,,1.47,0.09,6%,0,12.6km,1.04,49.63,41.84,11.09,7.45,4.07,0.09,0.69,0.26,0.17,0.78,1.47,10.22,0.78,2.51,0.17,42%,1.39,67%,84%,9.62,0,0.61,0.87,
,  ,Malthe Jessen,£250K  £750K,0.89,2.76,0.92,0.03,37%,0.27,0.1,38%,3,12.4km,0.65,50.48,45.34,10.24,7.24,5.03,0.17,0.34,0.17,0.41,0.71,1.36,11.87,1.26,2.96,0.03,33%,2.01,77%,90%,9.69,0.14,0.58,1.26,0.14
,  ,Dávid Kocis,£240K  £750K,1,3.66,1.65,0.1,40%,0.26,0.1,40%,2,12.1km,0.57,47.22,43.61,9.5,11.46,5.16,0.05,0.36,0,0.52,1.14,1.34,10.58,1.34,2.53,0,45%,1.7,83%,92%,9.55,0.1,0.36,1.34,0.15
,  ,Dimitris Vlasopoulos,£240K  £750K,1.32,3.01,1.2,0.14,12%,0.82,0.1,13%,3,12.6km,0.89,45.21,38.81,12.05,13.79,3.9,0.31,0.89,0.34,0.41,1.03,2.12,10.13,1.16,2.6,0.27,40%,1.71,82%,86%,10.64,0.17,0.27,1.16,0.03
Wnt,  ,Robert Paszyński,£240K  £700K,1.48,4.43,2.51,0.76,27%,0.44,0.12,27%,3,12.0km,0.88,51.54,45.36,9.93,4.83,5.11,0.36,0.88,0.2,0.32,0.8,1.6,15.64,1.08,2.83,0,57%,2.19,86%,88%,9.34,0,0.56,1.08,0.04
,  ,Maksym Bilyi,£240K  £700K,1.31,3.34,0.98,0.09,,0.36,0,0%,0,12.9km,0.49,50.5,45.33,9.8,8.95,4.1,0.04,0.18,0.04,0.89,1.34,1.34,13.27,1.25,2.23,0,29%,1.69,76%,90%,8.73,0,0.58,1.25,0.31
,  ,Jürg Bellwald,£240K  £700K,1.12,5.6,3.79,0.5,7%,0.59,0.05,8%,1,12.7km,0.99,48.84,43.65,9.34,10.34,3.79,0.27,0.86,0.09,0.32,0.95,1.53,14.94,1.31,2.89,0,68%,2.48,87%,89%,9.43,0.05,0.41,1.31,0.14
,  ,Enes Durakovic,£230K  £700K,1.13,2.88,1.44,0.04,20%,1.56,0.27,18%,5,12.7km,0.86,41.09,35.91,10.48,10.75,3.66,0.27,0.66,0.19,0.31,0.78,2.03,13.12,1.52,3.19,0,50%,1.95,74%,87%,11.02,0.08,0.12,1.95,0.16
,  ,Philipp Dall,£220K  £650K,1.27,5.39,1.15,0,5%,1.03,0.06,6%,1,12.3km,1.88,31.55,26.89,10.66,18.53,1.88,0.55,2.18,0.85,0.18,0.67,1.64,9.45,1.09,2.91,0,21%,1.94,84%,85%,9.51,0.06,0.24,1.33,0.06
,  ,Krisztián Szentgyörgyi,£220K  £650K,1.52,3.95,2.65,0.37,,0.24,0,0%,0,12.8km,0.53,49.11,42.27,12.42,9,4.07,0.37,0.98,0.33,0.69,0.69,2.04,12.26,0.81,2.44,0.29,67%,2.04,83%,86%,10.59,0.04,0.2,0.81,0.08
Inj,  ,Yuriy Kovalevich,£220K  £650K,1.62,4.11,2.55,0.33,33%,0.49,0.16,33%,2,12.9km,0.49,49.07,42.66,12.25,8.14,4.03,0.41,0.82,0.33,0.25,0.82,2.22,20.71,1.07,3.7,0.33,62%,2.71,72%,87%,10.11,0.08,0.74,1.07,0.25
Wnt,  ,Vasil Tunchev,£210K  £650K,0.77,4.54,1.64,0.18,18%,0.39,0.07,18%,2,12.8km,0.5,49.59,43.34,12.29,8.25,3.86,0.11,0.18,0.07,0.39,0.93,1.29,11.36,1.04,2.82,0.32,36%,2.47,84%,87%,9.47,0.11,0.36,1.04,0.07
,  ,Ángel Aroca,£210K  £650K,1.31,3.08,0.79,0,20%,0.88,0.18,20%,2,12.6km,0.7,44.96,39.68,10.12,13.64,2.99,0.26,0.7,0.18,0.09,0.97,1.41,8.62,1.41,2.64,0,26%,1.94,88%,88%,11.7,0.09,0.35,1.41,0.26
,  ,Itay Danor,£210K  £600K,0.88,4.16,1.01,0.14,8%,0.84,0.07,8%,2,12.6km,0.59,47.38,41.22,9.55,12.32,3.95,0.17,0.87,0.31,0.35,1.36,1.4,13.4,1.36,3.08,0,24%,2.38,79%,87%,10.85,0.07,0.28,1.36,0.21
,  ,Tunç Kar,£200K  £600K,1.06,3.65,2.41,0.31,11%,0.31,0.03,11%,1,12.8km,0.48,49.25,43.92,10.61,7.1,4.51,0.07,0.24,0.1,0.48,1.17,1.48,12.78,0.86,2.24,0.03,66%,1.48,74%,89%,9.06,0.1,0.38,0.93,0.07
,  ,Fabio Altamura,£200K  £600K,1.39,2.8,0.79,0.09,12%,0.37,0.05,13%,1,12.7km,0.93,49.02,43.69,10.56,7.57,4.11,0.28,0.89,0.19,0.19,0.51,1.92,11.07,0.89,3.08,0.09,28%,1.87,67%,89%,9.35,0,0.56,0.89,0.42
,  ,Stéphane Saintini,£190K  £600K,1.04,2.98,1.01,0,4%,0.96,0.05,5%,1,12.3km,1.6,43.23,37.78,10.64,13.85,3.12,0.09,0.37,0.14,0.23,0.83,1.65,9.67,1.28,3.85,0,34%,2.57,76%,87%,10.87,0.05,0.37,1.28,0.09
Wnt,  ,Nurretin Akkuş,£190K  £550K,0.52,3.23,1.15,0,8%,0.55,0.05,8%,1,12.3km,0.51,45.53,39.86,9.73,10.19,4.34,0.28,0.37,0.14,0.18,0.78,1.34,8.86,1.43,2.91,0,36%,2.08,80%,88%,10.56,0.09,0.28,1.43,0.14
,  ,Javier Mejías,£190K  £550K,1.19,3.36,0.91,0,19%,1.08,0.21,19%,5,12.0km,0.7,45.7,41.02,9.32,13.34,3.07,0.17,0.54,0.12,0.33,0.75,1.49,11.6,1.49,2.4,0,27%,1.41,68%,90%,10.15,0.08,0.5,1.49,0.37
,  ,Przemysław Banasiak,£180K  £550K,1.33,4.67,2.47,0.4,27%,1.2,0.33,28%,5,11.8km,1,45.6,40.27,10.73,15.8,3.2,0.27,1,0.4,0.07,0.47,1.73,13.07,1,3.2,0,53%,2.2,79%,88%,10.07,0.07,0.13,1,0.2
Opt,  ,Yared Bernal,£180K  £550K,0.96,3.73,0.58,0.34,33%,0.73,0.24,33%,5,12.7km,0.73,48.97,42.58,10.31,10.21,4.45,0.1,0.48,0.24,0.29,1.06,1.94,12.19,1.35,2.56,0.1,16%,1.94,82%,87%,9.87,0.05,0.1,1.35,0.1
,  ,Gregor Horvat,£180K  £550K,1.25,3.91,0.98,0,10%,0.75,0.08,10%,2,12.4km,0.94,42.9,37.83,10.18,13.22,4.21,0.34,0.83,0.26,0.34,0.49,1.46,11.08,1.24,3.12,0,25%,1.92,81%,88%,10.56,0,0.23,1.24,
Wnt,  ,Serkan Türkeri,£180K  £550K,0.91,4.86,2.85,0.31,20%,0.68,0.14,20%,4,12.4km,0.31,48.01,41.52,9.95,11.28,4.31,0.1,0.71,0.2,0.34,1.05,1.39,12.81,1.16,2.65,0,59%,1.9,73%,86%,9.89,0.07,0.48,1.16,0.14
Wnt,  ,Pau Prim,£180K  £550K,1.36,3.28,0.93,0.03,10%,0.69,0.07,10%,2,12.5km,1.11,43.41,38.36,10.37,14.79,4.11,0.21,1.07,0.35,0.41,1,2.04,12.96,1.28,3.04,0,28%,2.28,81%,88%,11.03,0.07,0.35,1.28,0.17
,  ,Bozenko Malenica,£180K  £550K,1.2,3.94,0.57,0.04,17%,2.71,0.41,15%,4,12.3km,0.78,45.23,37.93,9.88,12.59,4.39,0.12,0.21,0.04,0.33,0.57,1.11,9.47,1.44,2.67,0,15%,1.97,84%,84%,10.13,0.04,0.29,1.44,
,  ,Jakub Hošek,£170K  £500K,1.27,3.96,1.43,0,44%,0.71,0.32,44%,4,11.9km,1.27,48.64,41.91,8.32,12.68,3.57,0.08,0.4,0.16,0.32,0.71,1.66,12.12,1.43,2.46,0,36%,1.35,71%,86%,10.85,0.16,0.48,1.43,0.08
Wnt,  ,Jonathan AspJensen,£170K  £500K,1.47,4.14,1.83,0.13,,8.55,1.17,14%,0,12.4km,1.08,42.59,38.57,10.08,13.84,3.46,0.39,1.44,0.36,0.49,1.08,1.66,11.91,1.17,2.84,0,44%,2.19,86%,91%,11,0.1,0.16,2.45,0.13
Req,  ,Darko Despotovski,£170K  £500K,1.36,2.94,0.56,0.06,33%,0.69,0.19,27%,3,12.5km,0.69,49.56,45.25,10,7.38,4,0.19,0.38,0.06,0.38,0.81,1.38,10.81,0.81,2.12,0.06,19%,1.5,75%,91%,10.19,0,0.5,0.81,0.19
,  ,Mark Dalglish,£170K  £500K,1.77,6.24,1.17,0.08,6%,1.2,0.08,7%,3,12.9km,1.14,32.63,26.94,10.34,15.16,2.31,0.5,1.37,0.47,0.25,1.06,1.5,14.43,1.53,2.45,0,19%,1.42,81%,83%,9.86,0,0.5,1.87,0.36
,  ,Donal Doran,£170K  £500K,1.92,3.92,1.88,0.16,,0.16,0,0%,0,12.3km,0.94,49.97,45.51,10.18,7.05,2.9,0.08,0.16,0.08,0.39,0.63,1.25,15.35,0.78,2.66,0.08,48%,1.88,86%,91%,9.09,0.08,0.39,0.78,0.39
,  ,Mario Brkić,£170K  £500K,0.79,5.07,2.24,0.24,23%,0.51,0.12,24%,4,12.3km,0.77,46.04,41.27,9.48,11.47,4.05,0.39,0.98,0.24,0.45,0.66,1.73,14.22,0.98,2.71,0.18,44%,1.64,72%,90%,9.66,0,0.21,0.98,0.18
,  ,Amel Nikolić,£160K  £500K,1.52,3.82,1.29,0,9%,0.94,0.09,9%,2,12.1km,0.86,43.95,39.1,9.53,11.16,3.13,0.26,0.6,0.17,0.3,0.47,1.89,12.23,1.24,3.18,0,34%,2.1,78%,89%,11.16,0,0.39,1.24,0.17
,  ,Yavor Tanev,£160K  £500K,0.82,2.99,1.4,0.09,,0.28,0,0%,0,12.0km,0.47,50.37,40.56,9.63,10,3.36,0.09,0.37,0.09,0.56,0.84,1.12,8.97,0.84,1.87,0.19,47%,1.78,90%,81%,9.53,0.19,0.09,0.84,0.09
Wnt,  ,Stefanos Argyropoulos,£160K  £500K,1.83,4.04,1.8,0.31,20%,0.51,0.1,20%,3,12.6km,1.22,43.58,38.05,10.58,11.12,3.59,0.27,1.05,0.24,0.41,0.81,1.83,13.19,0.95,3.02,0.03,45%,2.07,74%,87%,11.16,0.1,0.24,0.95,0.07
,  ,Gigla Mesiachenko,£160K  £475K,1.22,3.11,0.57,0.04,12%,1.19,0.16,14%,3,12.3km,0.98,45.02,39.45,9.63,15.03,4.06,0.45,1.02,0.41,0.41,0.98,1.47,11.02,1.52,3.11,0,18%,2.17,83%,88%,10.86,0.08,0.37,1.52,0.12
