Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Valery Paramonov,£3.5K  £10K,1,52,Russian Second Division B  Group 4,8.15,5.73,0.97,17%,1.37,0.24,18%,3,11.1km,0.08,48.03,41.17,7.26,9.2,3.87,0.16,0.65,0.24,0.65,1.78,1.7,13.16,0.73,1.94,0.4,70%,2.26,93%,86%,5.17,0.4,0.16,0.73,0.08
,  ,Sergey Logvinov,£0,1,52,Russian Second Division B  Group 4,0.42,0.42,0.11,,0,0,,0,0.6km,,21.63,15.58,0.11,0.16,0.21,0,0.21,0,,0.05,0.05,1.37,0,0.05,0.11,100%,1.74,92%,72%,0.21,0,,,0.05
,  ,Dimitar Nikiforov,£0,1,52,Bulgarian Third League NorthEast,,,0,,0,0,,0,0.0km,,20,13.39,0,0,0,0,0.17,0.06,,0,,0,0,0,0,,1.67,94%,67%,0,0,,,0.06
,  ,Alexey Zhilyaev,£7K  £20K,1,52,Russian Third Division  Moscow,,,0,,0,0,,0,0.0km,,20,15.31,0,0,0,0,0.69,0.15,,0,,0,0,0,0,,1.54,95%,77%,0,0,,,0.15
Ret,  ,Roman Kuznetsov,£0,1,52,Kazakhstan Second League Conference SouthWest,,,0,,0,0,,0,0.0km,,20.48,14.51,0,0,0,0,0.25,0.07,,0,,0,0,0,0,,1.92,99%,71%,0,0,,,0.12
,  ,Lasse Oksanen,£10K  £30K,0.96,52,Finnish Second Division Group B,0.36,0.36,0,,0,0,,0,0.4km,,21.07,15.07,0.07,0.11,0.18,0,0.39,0.11,0.07,0.11,0.04,0.5,0.07,0,0,100%,1.68,100%,72%,0.11,0,,0.07,0.14
,  ,Franc Toplak,£0,1.12,52,Slovenian Third League East,0.92,0.52,0,,0,0,,0,1.4km,,24.4,17.94,0.87,0.46,0.46,0.23,0.87,0.17,0.12,0.23,0.23,1.96,0.12,0,0.06,56%,1.62,93%,74%,0.06,0,,0.12,0.12
,  ,Rea Lavi,£0,1,52,Israeli A League North Division,,,0,,0,0,,0,0.0km,,20,13.5,0,0,0,0,,,,0,,0,0,0,0,,1.94,100%,68%,0,0,,,
,  ,Claes Ericson,£0,1.16,52,Finnish Third Division,0.91,0.61,0.03,,0.03,0,0%,0,1.5km,,24.01,17.02,0.84,0.36,0.39,0.06,0.36,0,0.06,0.32,0.16,3.4,0.06,0.19,0.16,68%,1.78,92%,71%,0.32,0.13,0.03,0.06,0.03
,  ,Nenad Knežević,£0,1,52,Serbian Second League Vojvodina,,,0,,0,0,,0,0.0km,,20,14.5,0,0,0,0,0.33,0.06,,0,,0,0,0,0,,1.67,97%,73%,0,0,,,0.06
,  ,Mattia Montalti,£0,0.94,52,Belgian Third Amateur Division ACFF C,8.66,5.94,0.9,,0,0,,0,11.1km,0.06,54.14,46.45,4.72,3.75,3.55,0.65,1.36,0.58,0.39,0.84,1.55,14.47,0.26,1.29,0.45,69%,1.16,82%,86%,3.55,0.26,0.06,0.26,
,  ,Joonas Wargh,£0,1.58,52,Finnish Third Division,9.16,6.83,0.85,,0.15,0,0%,0,10.2km,,50.04,40.99,5.47,3.07,3.66,0.37,1.48,0.33,0.37,1.62,1.55,13.33,0.41,1.14,1.37,75%,1.11,86%,82%,3.18,0.26,0.07,0.41,
,  ,Godwin Usman,£0,1,52,Nigerian Lower Division,,,0,,0,0,,0,0.0km,,20,14.24,0,0,0,0,0.24,0,,0,,0,0,0,0,,1.71,100%,71%,0,0,,,0.18
,  ,Vasilis Stantzos,£0,0.27,51,Greek National C Division Group 4,8.77,5.89,0.77,,0.07,0,0%,0,11.0km,,52.33,40.34,4.49,4.21,3.02,0.28,0.7,0.07,0.56,2.1,1.61,14.31,0.21,1.12,1.26,67%,1.05,94%,77%,2.88,0.35,,0.21,
,  ,Kostas Limnios,£0,1,51,Greek Amateur First Division  Thessaly,,,0,,0,0,,0,0.0km,,20,14.5,0,0,0,0,0.29,0,,0,,0,0,0,0,,1.79,100%,73%,0,0,,,0.07
,  ,Matt Turner,£0,1,51,Welsh Ardal Leagues,,,0,,0,0,,0,0.0km,,20,13.94,0,0,0,0,0.47,0.12,,0,,0,0,0,0,,1.71,94%,70%,0,0,,,0.12
,  ,Nuno Gomes,£0,1,51,Portuguese Viana do Castelo Second Division,,,0,,0,0,,0,0.0km,,20,13.67,0,0,0,0,0.4,0.07,,0,,0,0,0,0,,1.8,96%,68%,0,0,,,0.13
U19,  ,Gabor Tóth,£4K  £12K,2.09,51,Hungarian Division III  Northeast,8.85,6.95,0.19,66%,0.29,0.19,67%,2,11.5km,,51.56,44.14,5.23,2.95,3.23,0,0.57,0.1,0.57,1.71,1.9,12.75,0.57,1.05,0.1,78%,0.95,83%,86%,2.57,0.48,,0.57,
Ret,  ,Adam Werner,£0,1,51,Swedish Second Division North Götaland,,,0,,0,0,,0,0.0km,,20,13.77,0,0,0,0,0.27,0.08,,0,,0,0,0,0,,1.58,95%,69%,0,0,,,0.08
Inj,  ,Dewi Harris,£0,0.33,51,JD Cymru Premier,7.37,4.88,0.73,,0.21,0,0%,0,11.3km,,52.01,43.6,3.63,2.8,4.15,0.1,0.1,0,0.42,1.56,0.83,12.98,0.21,1.56,1.25,66%,1.66,94%,84%,3.53,0.21,0.1,0.21,
,  ,Dželaludin Fačić,£0,1,51,Austrian II. League Central (B),,,0,,0,0,,0,0.0km,,20,13.56,0,0,0,0,0.28,0.17,,0,,0,0,0,0,,1.61,100%,68%,0,0,,,0.06
,  ,Rainer Dirkx,£0,1,51,Swedish Second Division North Götaland,,,0,,0,0,,0,0.0km,,20,13.83,0,0,0,0,0.26,0.04,,0,,0,0,0,0,,1.43,100%,69%,0,0,,,0.09
,  ,Bernd Schneider,£0,1,51,Austrian Under League West (K),,,0,,0,0,,0,0.0km,,20,13.56,0,0,0,0,0.17,0.11,,0,,0,0,0,0,,1.78,97%,68%,0,0,,,0.11
,  ,Sebastián Castro,£0,1,51,Chilean Second Division,,,0,,0,0,,0,0.0km,,23.12,15.52,0,0,0,0,0.44,0.04,,0,,0,0,0,0,,1.56,97%,67%,0,0,,,0.13
,  ,Dyomede Dănălache,£2.5K  £7K,1,51,Romanian Third League Group 10,4.22,2.46,0.2,,0,0,,0,4.3km,,32.23,23.19,1.97,0.98,1.57,0,0.29,0,0.39,1.28,0.49,5.8,0.1,0.59,0.29,58%,0.98,67%,72%,1.38,0.1,,0.1,0.1
,  ,Nikolai Risan Mørk,£0,1.11,51,Norwegian Third Division Group 6,0.93,0.37,0.11,,0,0,,0,1.1km,,23.52,16.89,0.41,0.26,0.44,0.04,0.52,0.11,0.07,0.11,0.26,2.3,0.04,0.22,0.07,40%,1.89,100%,72%,0.37,0.04,,0.04,0.07
,  ,Kostas Chortsas,£0,0.77,51,Greek National C Division Group 2,9.34,6.06,1.09,100%,0.08,0.08,100%,1,10.2km,0.08,51.31,40.21,3.28,3.11,4.29,0.5,0.84,0,0.59,1.85,1.18,18.25,0.42,1.6,0.59,65%,1.6,90%,78%,4.12,0.42,,0.42,
Loa,  ,Fernando Barajas,£45K  £140K,1,51,MLS Next Pro Western Conference,,,0,,0,0,,0,0.0km,,20,13.57,0,0,0,0,0.32,0.04,,0,,0,0,0,0,,1.64,100%,68%,0,0,,,0.11
,  ,Andrés Palmero,£0,1,51,Spanish Federation Third Group 17,,,0,,0,0,,0,0.0km,,20,12.25,0,0,0,0,2.92,1.5,,0,,0,0,0,0,,1.92,92%,61%,0,0,,,
,  ,Patru Măgureanu,£0,1,51,Romanian Fourth League Argeş,8.62,4.75,1.25,,0,0,,0,10.8km,0.06,49.69,41.69,3.69,2.88,4,0.31,0.88,0.19,0.31,1,1.44,22.69,0.19,1.31,1.19,55%,1.5,92%,84%,3.25,0.25,,0.19,
,  ,Tshédo Traoré,£0,1,51,French Regional 1  Hauts de France  Group A,,,0,,0,0,,0,0.0km,,20,12.27,0,0,0,0,2,0.67,,0,,0,0,0,0,,2,100%,61%,0,0,,,0.07
,  ,David Umoh,£0,1,51,,,,0,,0,0,,0,0.0km,,20,13.41,0,0,0,0,0.47,0.06,,0,,0,0,0,0,,1.71,91%,67%,0,0,,,0.12
,  ,Ryan Dunne,£0,1.4,51,Irish Lower Division,7.44,4.74,0.71,,0.15,0,0%,0,9.2km,0.09,47.81,39.51,3.44,2.37,2.68,0.25,0.68,0.12,0.52,1.63,1.01,20.2,0.22,0.74,0.65,64%,0.86,85%,83%,2.58,0.18,0.12,0.22,0.06
,  ,Mohammed George,£0,1,51,,,,0,,0,0,,0,0.0km,,20,14,0,0,0,0,0.38,0,,0,,0,0,0,0,,1.62,100%,70%,0,0,,,
,  ,Federico Aversano,£0,1.12,51,Italian Serie D Grp. A,8.2,6,1.01,,0.13,0,0%,0,10.2km,0.13,49.8,42.35,5.18,3.22,3.47,0.25,0.5,0,0.63,1.39,1.39,18.11,0.06,0.82,1.07,73%,1.01,89%,85%,2.65,0.19,,0.25,
,  ,Cristian Buda,£0,1,51,Italian Serie D Grp. C,,,0,,0,0,,0,0.0km,,20,14.36,0,0,0,0,0.5,0.07,,0,,0,0,0,0,,1.86,96%,72%,0,0,,,0.07
,  ,Noah Larsen,£0,1,51,Denmark's Series Group 3,,,0,,0,0,,0,0.0km,,20,14.44,0,0,0,0,0.44,0.11,,0,,0,0,0,0,,2,97%,72%,0,0,,,0.22
,  ,Felix Roudier,£0,1,51,French Regional 1  Bretagne  Group A,,,0,,0,0,,0,0.0km,,20,14.43,0,0,0,0,0.29,0,,0,,0,0,0,0,,1.79,100%,72%,0,0,,,0.21
,  ,Bachir Larbi,£0,0.93,51,French National 3  Group C,0.73,0.53,0,,0.07,0,0%,0,0.7km,,21.8,15.87,0.27,0.4,0.27,0,,,,0.13,0.13,0.87,0.07,0.13,0.07,73%,1.8,96%,73%,0.13,0.07,,0.07,
,  ,Tomáš Zlámal,£0,1,51,Czech Third Division CFL B,,,0,,0,0,,0,0.0km,,20,13.61,0,0,0,0,0.33,0.06,,0,,0,0,0,0,,1.44,100%,68%,0,0,,,
,  ,Oliver Hofer,£0,0.06,51,Austrian Regional League East,9.64,5.59,0.84,,0.13,0,0%,0,11.0km,,52.29,44.07,4.11,4.95,4.37,0.26,0.64,0.06,0.58,2.06,1.73,8.35,0.39,1.16,2.25,58%,0.9,74%,84%,2.89,0.32,0.06,0.39,
,  ,Torsten Neumann,£0,1,51,German Div. Hessia,,,0,,0,0,,0,0.0km,,20,13.83,0,0,0,0,0.28,0.06,,0,,0,0,0,0,,1.67,100%,69%,0,0,,,
,  ,Ernad Špičić,£0,1,51,Croatian Fourth League West,,,0,,0,0,,0,0.0km,,20.89,14.93,0,0,0,0,0.37,0.12,,0,,0,0,0,0,,1.97,100%,71%,0,0,,,
,  ,Ovidiu Vornicu,£0,1,51,Romanian Fourth League Timiş,,,0,,0,0,,0,0.0km,,20,14,0,0,0,0,0.47,0.2,,0,,0,0,0,0,,1.8,96%,70%,0,0,,,0.13
,  ,Helgi Þórsson,£0,1.04,51,Icelandic Third Division,8.88,5.9,1.16,60%,0.2,0.12,60%,3,11.1km,,52.47,42.67,5.38,2.91,3.03,0.16,0.8,0.08,0.36,1.55,1.43,17.29,0.2,1.12,1.51,66%,1.16,88%,81%,2.87,0.2,0.12,0.2,
U19,  ,Tamás Tóth,£70K  £220K,1,51,Hungarian Division III  Southeast,,,0,,0,0,,0,0.0km,,20,13.08,0,0,0,0,0.5,0.08,,0,,0,0,0,0,,1.25,100%,65%,0,0,,,
,  ,Predrag Govedarica,£0,1,50,Swiss Second League Interregio Gr 2,,,0,,0,0,,0,0.0km,,21.05,14.09,0,0,0,0,0.18,0.06,,0,,0,0,0,0,,1.46,100%,67%,0,0,,,
,  ,Ivan Lomako,£0,0.55,50,Belarusian First League,5.35,3.36,0.66,50%,0.07,0.03,50%,1,7.1km,0.03,41.01,31.53,2.45,2.13,1.89,0.07,0.21,0.03,0.24,1.08,0.63,11.93,0.1,0.73,0.63,63%,1.47,88%,77%,2.1,0.14,0.03,0.1,
U18,  ,Daniils Dobrecovs,£10K  £35K,2.23,50,,7.53,5.08,0.66,8%,1.69,0.14,8%,3,11.6km,0.33,48.44,38.88,10.4,9.98,5.13,0.24,0.8,0,0.56,1.93,1.84,19.06,0.61,1.84,0.75,68%,1.6,72%,80%,6.12,0.14,0.14,0.66,0.14
,  ,Styrmir Gunnlaugsson,£500  £1.5K,0.33,50,Icelandic First Division,9,5.33,0.89,,0.07,0,0%,0,10.4km,0.07,51.22,41.93,4.11,4.04,3.52,0.3,0.74,0.11,0.44,1.7,1.44,12.59,0.19,1.26,1.19,59%,1.04,76%,82%,2.93,0.22,,0.19,
,  ,Dmitriy Pugach,£0,0.97,50,Belarusian Second League,0.17,0,0.03,,0,0,,0,0.3km,,23.03,16.35,0.06,0.08,0.14,0,0.33,0.03,,0.06,0.03,0.25,0,0.08,0.03,0%,2.33,97%,71%,0.14,0,,,0.06
,  ,Luís Baldé,£0,1,50,Portuguese Aveiro First Division,,,0,,0,0,,0,0.0km,,20,13.76,0,0,0,0,0.41,0,,0,,0,0,0,0,,1.94,92%,69%,0,0,,,0.06
,  ,Lucio Fernández,£0,1,50,Argentine Torneo Federal C,,,0,,0,0,,0,0.0km,,20,13.46,0,0,0,0,0.46,0.1,,0,,0,0,0,0,,1.64,97%,67%,0,0,,,0.08
,  ,Ivan Rosti,£0,1.93,50,San Marino League,8.64,6.79,1,,0,0,,0,10.2km,,49.07,38.71,4.07,3.07,3.36,0.14,1,0.14,0.21,1.36,1.14,26.07,0.21,1,0.36,79%,1,88%,79%,2.64,0.14,0.07,0.21,
,  ,Juan Manuel Viana,£0,1,50,Spanish Federation Third Group 1,,,0,,0,0,,0,0.0km,,21.12,14.79,0,0,0,0,0.53,0.15,,0,,0,0,0,0,,2.04,100%,70%,0,0,,,
,  ,Davide Pettinato,£0,1,50,Italian Eccellenza Sicilia Grp.A,,,0,,0,0,,0,0.0km,,21.14,15.37,0,0,0,0,0.08,0,,0,,0,0,0,0,,1.63,95%,73%,0,0,,,0.16
,  ,Mika Martikainen,£0,1.78,50,Finnish Lower Division,8.99,5.58,1.18,,0.17,0,0%,0,10.4km,0.08,49.72,40.82,4.2,3.04,3.41,0.23,0.99,0.17,0.37,1.72,0.93,18.17,0.25,1.13,0.25,62%,1.07,84%,82%,2.9,0.17,0.03,0.25,0.03
,  ,Domagoj Lovrić,£0,1,50,Republic of Srpska Second League West,,,0,,0,0,,0,0.0km,,21.16,14.94,0,0,0,0,0.2,0,,0,,0,0,0,0,,1.98,100%,71%,0,0,,,
,  ,Sergey Bammatgereev,£5K  £16K,1,50,Russian Third Division  Moscow,,,0,,0,0,,0,0.0km,,20,13.54,0,0,0,0,0.15,0,,0,,0,0,0,0,,1.54,100%,68%,0,0,,,
,  ,Cameron Little,£0,1,50,Spanish Federation Third Group 17,,,0,,0,0,,0,0.0km,,20,12.86,0,0,0,0,2.79,1.21,,0,,0,0,0,0,,1.29,100%,64%,0,0,,,0.07
,  ,Sylvain Dah,£0,1,50,Burkinabé D1,,,0,,0,0,,0,0.0km,,20,14.17,0,0,0,0,0.33,0,,0,,0,0,0,0,,1.83,96%,71%,0,0,,,0.08
,  ,Florin Lăcătuş,£0,1,50,Romanian Fourth League Teleorman,,,0,,0,0,,0,0.0km,,20,14.4,0,0,0,0,0.13,0.07,,0,,0,0,0,0,,1.87,100%,72%,0,0,,,0.07
,  ,Mamadi Baldé,£0,1,50,Portuguese Aveiro First Division,,,0,,0,0,,0,0.0km,,20,14.18,0,0,0,0,0.47,0.06,,0,,0,0,0,0,,1.59,100%,71%,0,0,,,0.12
,  ,Marco Nóvoa,£0,1,50,Portuguese Viseu First Division,,,0,,0,0,,0,0.0km,,21.07,14.88,0,0,0,0,2.48,0.87,,0,,0,0,0,0,,1.61,96%,71%,0,0,,,0.06
U19,  ,Adelin Pop,£16K  £50K,1.18,50,,6.79,5.22,0.59,,0.1,0,0%,0,9.5km,0.1,51.11,43.62,2.66,2.86,3.45,0.49,1.48,0.1,0.69,2.17,1.08,12.01,0.2,1.18,0.2,77%,1.28,93%,85%,3.15,0.2,,0.2,0.1
,  ,Björn Benediktsson,£0,0.96,50,Icelandic Third Division,0.86,0.55,0.12,,0,0,,0,1.0km,,24.38,16.97,0.23,0.23,0.39,0.08,0.55,0.16,,0.12,0.2,1.09,0,0.12,0.04,64%,1.6,98%,70%,0.23,0.04,,,
,  ,Alexey Manaenkov,£0,0.82,50,Belarusian Second League,8.07,5.62,0.62,33%,0.08,0.03,33%,1,10.2km,0.08,49.54,40.74,4.38,2.84,2.91,0.15,0.52,0.05,0.57,1.57,1.26,23.49,0.26,0.83,0.49,70%,0.9,88%,82%,2.45,0.13,0.05,0.26,0.05
,  ,Bogdan Micu,£0,1,50,Romanian Fourth League Harghita,,,0,,0,0,,0,0.0km,,21.31,14.35,0,0,0,0,0.57,0.14,,0,,0,0,0,0,,2.13,97%,67%,0,0,,,
,  ,Henrik Holm,£0,1,50,Denmark's Series Group 1,,,0,,0,0,,0,0.0km,,20,14.47,0,0,0,0,0.4,0,,0,,0,0,0,0,,1.8,96%,72%,0,0,,,0.07
Ret,  ,Edvinas Ganusauskas,£0,0.93,50,Lithuanian A League,0.29,0.29,0.05,,0,0,,0,0.4km,,21.29,13.93,0.13,0.27,0.21,0,0.32,0.03,0.03,0.11,0.03,0.24,0.03,0.03,0,100%,1.55,100%,65%,0.03,0,0.03,0.03,0.03
,  ,Giulio Osterwalder,£0,1,50,Portuguese Évora Second Division,,,0,,0,0,,0,0.0km,,20.96,13.87,0,0,0,0,,,,0,,0,0,0,0,,1.85,100%,66%,0,0,,,0.12
,  ,Furhgill Donald,£0,1,50,Dutch Derde Divisie A,,,0,,0,0,,0,0.0km,,20,13.31,0,0,0,0,0.31,0,,0,,0,0,0,0,,1.85,96%,67%,0,0,,,
,  ,Eloy Fuentes,£0,0.6,50,Spanish Federation Third Group 2,8,4.6,0.47,100%,0.47,0.13,29%,1,11.0km,,49.87,39.73,3.53,3.6,3.4,0.27,0.93,0,0.73,1.8,1.47,16.73,0.4,1.07,1.53,58%,1,88%,80%,3.2,0.27,,0.4,
,  ,Dimitar Tsvetanov,£0,1,50,Bulgarian Third League NorthWest,8.76,6.35,1.24,,0,0,,0,10.1km,,46.72,39.64,4.45,3.72,3.21,0.15,0.58,0,0.66,0.95,1.68,10.66,0.07,0.58,1.39,73%,0.58,57%,85%,2.99,0,,0.07,
,  ,Kurtis Heary,£0,1.15,50,Irish Munster Senior League Premier Division,8.07,6,0.93,,0,0,,0,10.2km,0.05,50.55,40.88,4.22,3.12,3.45,0.42,1.02,0.2,0.75,1.73,1.12,15.72,0.17,0.75,0.28,74%,0.88,80%,81%,2.6,0.07,0.05,0.17,0.05
,  ,Vlad Căbuz,£0,1.21,50,Romanian Third League Group 10,0.18,0.18,0,,0,0,,0,0.2km,,20.86,15.29,0.09,0,0.09,0,0.18,0.09,,0,,0.53,0,0,0,100%,1.5,100%,73%,0.09,0,,,
,  ,Marcelin Ngo'o,£0,1.69,50,Czech Third Division CFL A,7.41,5.68,0.7,,0,0,,0,9.2km,,47.27,38.45,3.45,2.43,3.45,0.19,0.89,0.19,0.7,1.53,1.15,13.09,0.38,0.96,0.89,77%,1.34,84%,81%,2.56,0.13,0.06,0.38,
,  ,Daniil Savitskiy,£8K  £24K,0.88,50,Russian Second Division B  Group 1,6.69,4.73,0.76,100%,0.13,0.13,100%,2,10.2km,,48.88,36.96,4.29,2.65,4.67,0.32,1.2,0.32,0.25,1.45,1.39,21.95,0.19,1.39,0.88,71%,1.32,81%,76%,2.52,0.19,0.13,0.19,0.06
,  ,Andrey Petrov,£0,1.37,50,Belarusian Second League,9.37,5.7,1.26,20%,0.14,0.03,20%,1,11.2km,,51.85,41.91,4,2.96,3.75,0.33,1.1,0.14,0.49,1.67,1.26,18.16,0.33,1.21,0.47,61%,1.01,77%,81%,2.82,0.22,0.03,0.33,
,  ,Liam Mendes,£0,1,50,Swiss Lower Division,,,0,,0,0,,0,0.0km,,21.07,14.75,0,0,0,0,0.18,0.12,,0,,0,0,0,0,,1.7,97%,70%,0,0,,,0.06
,  ,Nurullah Tosun,£0,0.92,49,Turkish Regional Amateur League Group 5,0.82,0.33,0.08,,0,0,,0,1.3km,,23.81,17.92,0.08,0.33,0.33,0.08,0.41,0.08,,0,0.33,0.74,0,0.08,0,40%,1.8,100%,75%,0.33,0,,,0.16
,  ,Nontas Giatis,£0,1,49,Greek National C Division Group 3,,,0,,0,0,,0,0.0km,,20,13.64,0,0,0,0,0.5,0.07,,0,,0,0,0,0,,1.21,100%,68%,0,0,,,0.07
Inj,  ,Luís Luís,£0,1,49,Portuguese Évora Second Division,,,0,,0,0,,0,0.0km,,20,14.24,0,0,0,0,0.53,0.18,,0,,0,0,0,0,,1.65,97%,71%,0,0,,,0.06
,  ,Andri Björn Þorbjarnarson,£0,1.72,49,Icelandic Fifth Division,8,5.28,0.72,,0.04,0,0%,0,10.3km,,50.72,42.04,4.84,2.6,3.16,0.28,0.8,0.24,0.48,1.8,1.12,20.64,0.28,0.76,0.64,66%,0.8,77%,83%,2.48,0.08,,0.28,0.04
,  ,Mikhail Zhuk,£500  £1.5K,0.97,49,Belarusian Second League,0.28,0.16,0,,0,0,,0,0.3km,,22.68,13.64,0.13,0.09,0.09,0,2.1,0.5,0.03,0.09,0.06,0.31,0.03,0,0.03,56%,1.91,92%,60%,0,0,,0.03,0.06
,  ,Zsombor Szűcs,£0,1,49,Romanian Fourth League Satu Mare,,,0,,0,0,,0,0.0km,,20,14.07,0,0,0,0,0.5,0.14,,0,,0,0,0,0,,1.93,96%,70%,0,0,,,0.07
,  ,Ionuţ Păun,£0,1,49,Romanian Fourth League Ialomiţa,,,0,,0,0,,0,0.0km,,20,13.86,0,0,0,0,0.29,0.14,,0,,0,0,0,0,,2,97%,69%,0,0,,,0.14
,  ,Éricles Duarte,£0,0.85,49,German Div. Hamburg,7.93,4.98,1.18,,0,0,,0,9.8km,,49.09,42.26,3.37,3.37,3.12,0.51,1.18,0,0.67,1.35,1.18,14.93,0.34,0.93,2.02,63%,1.27,83%,86%,2.95,0.08,0.17,0.34,0.08
,  ,Evgeniy Bordachev,£0,0.55,49,Belarusian First League,6.09,4.49,0.74,25%,0.12,0.03,25%,1,6.9km,0.06,39.72,31.25,3.12,2.29,2.32,0.06,0.53,0.03,0.28,1.08,0.71,11.23,0.06,0.68,1.27,74%,1.11,90%,79%,1.92,0.12,,0.06,
,  ,Abdullah AlRaea,£0,1,49,Romanian Fourth League Ialomiţa,,,0,,0,0,,0,0.0km,,20,14.93,0,0,0,0,0.36,0.14,,0,,0,0,0,0,,1.64,100%,75%,0,0,,,
,  ,Simon Erdl,£0,0.94,49,German Regional Division West,7.19,4.12,0.75,100%,0.06,0.06,100%,1,9.8km,,50.06,41.12,4.38,3.44,3.44,0,0.31,0.06,0.38,1.69,1.25,9.06,0.31,1.25,0.19,57%,0.94,63%,82%,2.62,0.25,0.06,0.31,
,  ,Slavomir Kiss,£0,1.27,49,Slovak Lower Division,9.67,6.47,0.93,,0,0,,0,10.5km,0.13,50.73,44.6,4.27,3.73,3.27,0.2,0.47,0.07,0.73,2.13,1.8,17.87,0.4,1.27,0.93,67%,0.93,70%,88%,2.87,0.33,0.07,0.4,
,  ,Örvar Unason,£0,1.52,49,Icelandic Second Division,8.43,5.49,0.64,25%,0.14,0.04,25%,1,10.2km,0.04,49.22,41.56,4.57,3.72,3.69,0.07,0.53,0,0.57,1.63,1.7,14.03,0.35,0.99,0.96,65%,0.78,67%,84%,2.8,0.32,0.11,0.35,0.07
,  ,Ivan Indermühle,£1K  £2.5K,1,49,Swiss Second League Interregio Gr 3,,,0,,0,0,,0,0.0km,,23.68,16.26,0,0,0,0,0.39,0.08,,0,,0,0,0,0,,2.37,100%,69%,0,0,,,
,  ,Lukáš Adam,£9K  £28K,0.38,49,Czech Fourth Division F,8.04,5.48,0.6,,0.17,0,0%,0,10.3km,,50.48,41.32,4.28,3.94,3.17,0,0.34,0,0.34,1.54,1.2,16.6,0.43,1.2,3.25,68%,0.77,60%,82%,3.85,0.26,,0.43,
Inj,  ,Kamil Spak,£0,1,49,Slovak Lower Division,,,0,,0,0,,0,0.0km,,21.47,14.8,0,0,0,0,0.31,0,,0,,0,0,0,0,,1.53,100%,69%,0,0,,,0.15
,  ,Eugeni Gaixas,£0,1,49,Spanish Federation Third Group 15,,,0,,0,0,,0,0.0km,,20,13.38,0,0,0,0,0.77,0,,0,,0,0,0,0,,1.23,94%,67%,0,0,,,
,  ,Margaritis Charisis,£0,1.12,49,Greek National C Division Group 2,8.82,6.29,0.88,,0.06,0,0%,0,10.8km,0.06,50.12,39.65,5.94,2.47,4,0.41,0.88,0.12,0.59,1.88,1.35,20.71,0.47,1.65,1.59,71%,1.18,69%,79%,4,0.47,,0.47,
,  ,Krasen Tosunov,£0,1.12,49,Bulgarian Third League SouthWest,8.66,5.15,0.94,50%,0.13,0.06,50%,1,10.9km,0.13,53.72,44.94,4.27,3.58,4.64,0.13,0.44,0,0.69,2.07,1.19,22.03,0.63,1.38,0.56,59%,1.26,87%,84%,3.2,0.38,0.19,0.63,0.19
,  ,Yannick Pancrate,£0,1,49,French Regional 1  Hauts de France  Group A,,,0,,0,0,,0,0.0km,,20,14.27,0,0,0,0,0.6,0.27,,0,,0,0,0,0,,1.87,97%,71%,0,0,,,0.07
,  ,Miguel Barros,£0,1,49,Portuguese Évora First Division,,,0,,0,0,,0,0.0km,,20,13.94,0,0,0,0,0.12,0.06,,0,,0,0,0,0,,1.59,96%,70%,0,0,,,
,  ,Bojan Mulić,£4.5K  £14K,1,49,Serbian Second League Vojvodina,,,0,,0,0,,0,0.0km,,21.24,14.8,0,0,0,0,0.2,0,,0,,0,0,0,0,,1.79,100%,70%,0,0,,,
,  ,Gert Hilligsmann,£0,1,49,Belgian Third Amateur Division ACFF C,,,0,,0,0,,0,0.0km,,20,14.07,0,0,0,0,0.21,0,,0,,0,0,0,0,,1.57,92%,70%,0,0,,,0.07
,  ,Roel de Jong,£0,1,49,Dutch Derde Divisie B,,,0,,0,0,,0,0.0km,,20,13.47,0,0,0,0,,,,0,,0,0,0,0,,1.35,100%,67%,0,0,,,0.06
,  ,Mihajlo Petrović,£0,0.88,49,Swiss Second League Interregio Gr 4,8.47,6.5,1.31,100%,0.13,0.13,100%,2,10.7km,0.07,52.23,40.2,3.74,3.55,3.61,0.26,1.12,0.26,0.26,1.12,1.18,11.3,0.33,1.25,0.26,77%,1.18,90%,77%,2.76,0.13,,0.33,
,  ,Remo Della Ventura,£0,1,48,Italian Eccellenza Piemonte Grp.B,9.81,6.78,0.87,50%,0.14,0.07,50%,1,10.9km,,51.63,41.18,5.05,3.17,2.38,0.14,0.58,0.22,0.58,1.8,1.59,13.05,0.22,0.65,1.15,69%,0.79,85%,80%,3.1,0.14,,0.22,
,  ,Ilkka Rantamäki,£0,1,48,Finnish Third Division,,,0,,0,0,,0,0.0km,,20,14,0,0,0,0,0.26,0.11,,0,,0,0,0,0,,1.93,95%,70%,0,0,,,
